Training: 2021-04-24 22:03:54,921-rank_id: 0
Training: 2021-04-24 22:32:17,339-Speed 768.43 samples/sec   Loss 18.6537   Epoch: 0   Global Step: 2250   Required: 55 hours
Training: 2021-04-24 22:32:51,018-Speed 760.13 samples/sec   Loss 18.2811   Epoch: 0   Global Step: 2300   Required: 55 hours
Training: 2021-04-24 22:33:24,338-Speed 768.32 samples/sec   Loss 18.0250   Epoch: 0   Global Step: 2350   Required: 55 hours
Training: 2021-04-24 22:33:57,663-Speed 768.19 samples/sec   Loss 17.6397   Epoch: 0   Global Step: 2400   Required: 55 hours
Training: 2021-04-24 22:34:30,983-Speed 768.32 samples/sec   Loss 17.3449   Epoch: 0   Global Step: 2450   Required: 55 hours
Training: 2021-04-24 22:35:04,675-Speed 759.85 samples/sec   Loss 17.1242   Epoch: 0   Global Step: 2500   Required: 55 hours
Training: 2021-04-24 22:35:38,000-Speed 768.19 samples/sec   Loss 16.6897   Epoch: 0   Global Step: 2550   Required: 55 hours
Training: 2021-04-24 22:36:11,318-Speed 768.38 samples/sec   Loss 16.5295   Epoch: 0   Global Step: 2600   Required: 55 hours
Training: 2021-04-24 22:36:44,649-Speed 768.07 samples/sec   Loss 16.0821   Epoch: 0   Global Step: 2650   Required: 55 hours
Training: 2021-04-24 22:37:17,972-Speed 768.23 samples/sec   Loss 15.8924   Epoch: 0   Global Step: 2700   Required: 54 hours
Training: 2021-04-24 22:37:51,292-Speed 768.33 samples/sec   Loss 15.6708   Epoch: 0   Global Step: 2750   Required: 54 hours
Training: 2021-04-24 22:38:24,614-Speed 768.27 samples/sec   Loss 15.5015   Epoch: 0   Global Step: 2800   Required: 54 hours
Training: 2021-04-24 22:38:58,275-Speed 760.53 samples/sec   Loss 15.1802   Epoch: 0   Global Step: 2850   Required: 54 hours
Training: 2021-04-24 22:39:31,592-Speed 768.40 samples/sec   Loss 14.9606   Epoch: 0   Global Step: 2900   Required: 54 hours
Training: 2021-04-24 22:40:05,273-Speed 760.07 samples/sec   Loss 14.8134   Epoch: 0   Global Step: 2950   Required: 54 hours
Training: 2021-04-24 22:40:38,593-Speed 768.32 samples/sec   Loss 14.6472   Epoch: 0   Global Step: 3000   Required: 54 hours
Training: 2021-04-24 22:41:12,344-Speed 758.50 samples/sec   Loss 14.4347   Epoch: 0   Global Step: 3050   Required: 54 hours
Training: 2021-04-24 22:41:45,661-Speed 768.40 samples/sec   Loss 14.2630   Epoch: 0   Global Step: 3100   Required: 54 hours
Training: 2021-04-24 22:42:18,978-Speed 768.38 samples/sec   Loss 14.0318   Epoch: 0   Global Step: 3150   Required: 54 hours
Training: 2021-04-24 22:42:52,324-Speed 767.71 samples/sec   Loss 13.8928   Epoch: 0   Global Step: 3200   Required: 54 hours
Training: 2021-04-24 22:43:26,015-Speed 759.86 samples/sec   Loss 13.8484   Epoch: 0   Global Step: 3250   Required: 54 hours
Training: 2021-04-24 22:43:59,323-Speed 768.61 samples/sec   Loss 13.6933   Epoch: 0   Global Step: 3300   Required: 54 hours
Training: 2021-04-24 22:44:32,660-Speed 767.92 samples/sec   Loss 13.4764   Epoch: 0   Global Step: 3350   Required: 54 hours
Training: 2021-04-24 22:45:06,390-Speed 758.97 samples/sec   Loss 13.3283   Epoch: 0   Global Step: 3400   Required: 54 hours
Training: 2021-04-24 22:45:40,086-Speed 759.74 samples/sec   Loss 13.2673   Epoch: 0   Global Step: 3450   Required: 54 hours
Training: 2021-04-24 22:46:13,409-Speed 768.25 samples/sec   Loss 13.0946   Epoch: 0   Global Step: 3500   Required: 54 hours
Training: 2021-04-24 22:46:46,729-Speed 768.32 samples/sec   Loss 12.9622   Epoch: 0   Global Step: 3550   Required: 54 hours
Training: 2021-04-24 22:47:20,399-Speed 760.35 samples/sec   Loss 12.9598   Epoch: 0   Global Step: 3600   Required: 54 hours
Training: 2021-04-24 22:47:53,718-Speed 768.33 samples/sec   Loss 12.7375   Epoch: 0   Global Step: 3650   Required: 54 hours
Training: 2021-04-24 22:48:27,393-Speed 760.21 samples/sec   Loss 12.8290   Epoch: 0   Global Step: 3700   Required: 54 hours
Training: 2021-04-24 22:49:01,116-Speed 759.14 samples/sec   Loss 12.7282   Epoch: 0   Global Step: 3750   Required: 54 hours
Training: 2021-04-24 22:49:34,424-Speed 768.59 samples/sec   Loss 12.4843   Epoch: 0   Global Step: 3800   Required: 54 hours
Training: 2021-04-24 22:50:07,750-Speed 768.19 samples/sec   Loss 12.3891   Epoch: 0   Global Step: 3850   Required: 54 hours
Training: 2021-04-24 22:50:41,085-Speed 767.98 samples/sec   Loss 12.3483   Epoch: 0   Global Step: 3900   Required: 54 hours
Training: 2021-04-24 22:51:14,424-Speed 767.88 samples/sec   Loss 12.2391   Epoch: 0   Global Step: 3950   Required: 54 hours
Training: 2021-04-24 22:51:47,750-Speed 768.18 samples/sec   Loss 12.2141   Epoch: 0   Global Step: 4000   Required: 54 hours
Training: 2021-04-24 22:52:21,432-Speed 760.06 samples/sec   Loss 12.0242   Epoch: 0   Global Step: 4050   Required: 54 hours
Training: 2021-04-24 22:52:54,753-Speed 768.30 samples/sec   Loss 12.0237   Epoch: 0   Global Step: 4100   Required: 54 hours
Training: 2021-04-24 22:53:28,077-Speed 768.22 samples/sec   Loss 12.1527   Epoch: 0   Global Step: 4150   Required: 54 hours
Training: 2021-04-24 22:54:01,400-Speed 768.26 samples/sec   Loss 11.9850   Epoch: 0   Global Step: 4200   Required: 54 hours
Training: 2021-04-24 22:54:34,735-Speed 767.97 samples/sec   Loss 11.8320   Epoch: 0   Global Step: 4250   Required: 54 hours
Training: 2021-04-24 22:55:08,067-Speed 768.04 samples/sec   Loss 11.6167   Epoch: 0   Global Step: 4300   Required: 54 hours
Training: 2021-04-24 22:55:41,393-Speed 768.18 samples/sec   Loss 11.6296   Epoch: 0   Global Step: 4350   Required: 54 hours
Training: 2021-04-24 22:56:15,102-Speed 759.44 samples/sec   Loss 11.5822   Epoch: 0   Global Step: 4400   Required: 54 hours
Training: 2021-04-24 22:56:48,784-Speed 760.06 samples/sec   Loss 11.5138   Epoch: 0   Global Step: 4450   Required: 54 hours
Training: 2021-04-24 22:57:22,484-Speed 759.67 samples/sec   Loss 11.4711   Epoch: 0   Global Step: 4500   Required: 54 hours
Training: 2021-04-24 22:57:55,814-Speed 768.08 samples/sec   Loss 11.4481   Epoch: 0   Global Step: 4550   Required: 54 hours
Training: 2021-04-24 22:58:29,126-Speed 768.50 samples/sec   Loss 11.2485   Epoch: 0   Global Step: 4600   Required: 54 hours
Training: 2021-04-24 22:59:02,447-Speed 768.29 samples/sec   Loss 11.3002   Epoch: 0   Global Step: 4650   Required: 54 hours
Training: 2021-04-24 22:59:35,745-Speed 768.84 samples/sec   Loss 11.2025   Epoch: 0   Global Step: 4700   Required: 54 hours
Training: 2021-04-24 23:00:09,065-Speed 768.31 samples/sec   Loss 11.2380   Epoch: 0   Global Step: 4750   Required: 54 hours
Training: 2021-04-24 23:00:42,750-Speed 759.99 samples/sec   Loss 11.1495   Epoch: 0   Global Step: 4800   Required: 54 hours
Training: 2021-04-24 23:01:16,050-Speed 768.80 samples/sec   Loss 11.1497   Epoch: 0   Global Step: 4850   Required: 54 hours
Training: 2021-04-24 23:01:49,350-Speed 768.77 samples/sec   Loss 11.1069   Epoch: 0   Global Step: 4900   Required: 54 hours
Training: 2021-04-24 23:02:22,675-Speed 768.21 samples/sec   Loss 10.9578   Epoch: 0   Global Step: 4950   Required: 54 hours
Training: 2021-04-24 23:02:55,982-Speed 768.61 samples/sec   Loss 10.8253   Epoch: 0   Global Step: 5000   Required: 54 hours
Training: 2021-04-24 23:03:29,291-Speed 768.56 samples/sec   Loss 10.9740   Epoch: 0   Global Step: 5050   Required: 54 hours
Training: 2021-04-24 23:04:02,610-Speed 768.35 samples/sec   Loss 10.8227   Epoch: 0   Global Step: 5100   Required: 54 hours
Training: 2021-04-24 23:04:36,355-Speed 758.63 samples/sec   Loss 10.8543   Epoch: 0   Global Step: 5150   Required: 54 hours
Training: 2021-04-24 23:05:10,029-Speed 760.24 samples/sec   Loss 10.7944   Epoch: 0   Global Step: 5200   Required: 54 hours
Training: 2021-04-24 23:05:43,712-Speed 760.04 samples/sec   Loss 10.7404   Epoch: 0   Global Step: 5250   Required: 54 hours
Training: 2021-04-24 23:06:17,175-Speed 765.04 samples/sec   Loss 10.6706   Epoch: 0   Global Step: 5300   Required: 54 hours
Training: 2021-04-24 23:06:50,481-Speed 768.64 samples/sec   Loss 10.6525   Epoch: 0   Global Step: 5350   Required: 54 hours
Training: 2021-04-24 23:07:23,808-Speed 768.16 samples/sec   Loss 10.6970   Epoch: 0   Global Step: 5400   Required: 54 hours
Training: 2021-04-24 23:07:57,130-Speed 768.27 samples/sec   Loss 10.5706   Epoch: 0   Global Step: 5450   Required: 54 hours
Training: 2021-04-24 23:08:30,819-Speed 759.90 samples/sec   Loss 10.5135   Epoch: 0   Global Step: 5500   Required: 54 hours
Training: 2021-04-24 23:09:04,137-Speed 768.37 samples/sec   Loss 10.5675   Epoch: 0   Global Step: 5550   Required: 54 hours
Training: 2021-04-24 23:09:37,485-Speed 767.67 samples/sec   Loss 10.5460   Epoch: 0   Global Step: 5600   Required: 54 hours
